line,official_km,section,source,checked
nagoyashi.kamiiida,0.8,平安通～上飯田,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
yokkaichi-asunaro-tetsudo.utsube,5.7,あすなろう四日市～内部,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
izukyu.izu-kyuko,45.7,伊東～伊豆急下田,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
yokkaichi-asunaro-tetsudo.hachioji,1.3,日永～西日野,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
izuhakone.railway-sunzu,19.8,三島～修善寺,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
tarumi-tetsudo.tarumi,34.5,大垣～樽見,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
gakunan-densha.gakunan,9.2,吉原～岳南江尾,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
meichi-tetsudo.akechi,25.1,恵那～明智,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
shizuokatetsudo.shizuokashimizu,11.0,新静岡～新清水,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
nagaragawa-tetsudo.etsumi-nan,72.1,美濃太田～北濃,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
tenryu-hamanako-tetsudo.tenryu-hamanako,67.7,掛川～新所原,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
enshutetsudo.enshu-railway,17.8,新浜松～西鹿島,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
isetetsudo.ise-railway-ise,22.3,河原田～津,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
toyohashi-tetsudo.atsumi,18.0,新豊橋～三河田原,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
aichikanjotetsudo.aichi-loop,45.3,岡崎～高蔵寺,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
hapirain-fukui.hapi-fukui,84.3,敦賀～大聖寺,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
jukkokutoge-cable.cable-car,0.3,十国峠山麓～十国峠山頂,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
jr-east.ito,16.9,熱海～伊東,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
takamatsu-kotohira-denkitetsudo.kotohira,32.9,,https://wwwtb.mlit.go.jp/shikoku/content/000321255.pdf,2026-09-25
takamatsu-kotohira-denkitetsudo.shido,12.5,,https://wwwtb.mlit.go.jp/shikoku/content/000321255.pdf,2026-09-25
takamatsu-kotohira-denkitetsudo.nagao,14.6,,https://wwwtb.mlit.go.jp/shikoku/content/000321255.pdf,2026-09-25
iyotetsudo.takahama,9.4,,https://wwwtb.mlit.go.jp/shikoku/content/000321255.pdf,2026-09-25
iyotetsudo.yokogawara,13.2,,https://wwwtb.mlit.go.jp/shikoku/content/000321255.pdf,2026-09-25
iyotetsudo.gunchu,11.3,,https://wwwtb.mlit.go.jp/shikoku/content/000321255.pdf,2026-09-25
iyotetsudo.johoku,2.7,,https://wwwtb.mlit.go.jp/shikoku/content/000321255.pdf,2026-09-25
iyotetsudo.jonan,3.5,,https://wwwtb.mlit.go.jp/shikoku/content/000321255.pdf,2026-09-25
iyotetsudo.renraku,0.1,,https://wwwtb.mlit.go.jp/shikoku/content/000321255.pdf,2026-09-25
iyotetsudo.honmachi,1.5,,https://wwwtb.mlit.go.jp/shikoku/content/000321255.pdf,2026-09-25
iyotetsudo.otemachi,1.4,,https://wwwtb.mlit.go.jp/shikoku/content/000321255.pdf,2026-09-25
iyotetsudo.hanazono,0.4,,https://wwwtb.mlit.go.jp/shikoku/content/000321255.pdf,2026-09-25
tosaden-kotsu.ekimae,0.8,,https://wwwtb.mlit.go.jp/shikoku/content/000321255.pdf,2026-09-25
tosaden-kotsu.sanbashi,2.4,,https://wwwtb.mlit.go.jp/shikoku/content/000321255.pdf,2026-09-25
tosaden-kotsu.gomen,10.9,,https://wwwtb.mlit.go.jp/shikoku/content/000321255.pdf,2026-09-25
tosaden-kotsu.ino,11.2,,https://wwwtb.mlit.go.jp/shikoku/content/000321255.pdf,2026-09-25
tosa-kuroshio-tetsudo.nakamura,43.0,,https://wwwtb.mlit.go.jp/shikoku/content/000321255.pdf,2026-09-25
tosa-kuroshio-tetsudo.sukumo,23.6,,https://wwwtb.mlit.go.jp/shikoku/content/000321255.pdf,2026-09-25
tosa-kuroshio-tetsudo.asa,42.7,,https://wwwtb.mlit.go.jp/shikoku/content/000321255.pdf,2026-09-25
nagoyatetsudo.meitetsu-inuyama,26.8,枇杷島分岐点～新鵜沼,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
